scorer,setup,rule,auroc,pure0_leaf_alarm_recall,pure1_leaf_false_alarm_rate,pure0_leaf_alarm_median_step,pure1_leaf_false_alarm_median_step,pure0_leaf_paths,pure1_leaf_paths,pure0_successful_warning_mean_early_pct
lightgbm,full_features,cusum_tuned_low_fp,0.8579409102074539,0.8566484313944401,0.059534081104400345,49.0,56.0,8957.0,1159.0,18.78653068955142
lightgbm,full_features,consecutive_k_low_fp,0.8579409102074539,0.8781958244948085,0.25366695427092323,33.0,17.0,8957.0,1159.0,44.024153652608035
lightgbm,full_features,ewma_low_fp,0.8579409102074539,0.8758512894942503,0.21570319240724764,40.0,17.0,8957.0,1159.0,41.60969358189858
lightgbm,full_features,leaky_cusum_low_fp,0.8579409102074539,0.8580998102043095,0.062122519413287315,49.0,55.0,8957.0,1159.0,19.571390719998746
lightgbm,full_features,sliding_window_risk_low_fp,0.8579409102074539,0.8738416880652004,0.21052631578947367,40.0,17.0,8957.0,1159.0,41.41326966984002
lightgbm,no_confidence,calibrated_leaf_low_fp,0.8575105011670501,0.882996539019761,0.21138912855910266,40.0,17.0,8957.0,1159.0,41.30434062098863
lightgbm,no_confidence,cusum_tuned_low_fp,0.8575105011670501,0.8547504744892263,0.059534081104400345,49.0,56.0,8957.0,1159.0,18.678012763185897
lightgbm,no_confidence,consecutive_k_low_fp,0.8575105011670501,0.8821033828290722,0.30629853321829165,33.0,17.0,8957.0,1159.0,45.296074190814196
lightgbm,no_confidence,ewma_low_fp,0.8575105011670501,0.8863458747348443,0.21570319240724764,40.0,16.0,8957.0,1159.0,44.33162464025793
lightgbm,no_confidence,leaky_cusum_low_fp,0.8575105011670501,0.8568717204421124,0.061259706643658325,49.0,55.0,8957.0,1159.0,19.51494460404854
lightgbm,no_confidence,sliding_window_risk_low_fp,0.8575105011670501,0.8841129842581221,0.19240724762726488,40.0,17.0,8957.0,1159.0,43.74253524323391
mlp,full_features,calibrated_leaf_low_fp,0.8511006997337779,0.859774478061851,0.27351164797238997,32.0,16.0,8957.0,1159.0,49.11843681338055
mlp,full_features,cusum_tuned_low_fp,0.8511006997337779,0.8572066540136206,0.15185504745470232,41.0,41.0,8957.0,1159.0,28.642455752173408
mlp,full_features,consecutive_k_low_fp,0.8511006997337779,0.867143016635034,0.3157894736842105,25.0,17.0,8957.0,1159.0,48.64506154012056
mlp,full_features,ewma_low_fp,0.8511006997337779,0.8766328011611031,0.32269197584124243,25.0,16.0,8957.0,1159.0,53.50922667547561
mlp,full_features,leaky_cusum_low_fp,0.8511006997337779,0.843920955677124,0.13977566867989646,42.0,40.5,8957.0,1159.0,27.97532301419563
mlp,full_features,sliding_window_risk_low_fp,0.8511006997337779,0.8662498604443452,0.3201035375323555,25.0,16.0,8957.0,1159.0,53.23032185846427
mlp,no_confidence,calibrated_leaf_low_fp,0.859932475971017,0.861784079490901,0.19672131147540983,40.0,16.0,8957.0,1159.0,40.42035246934923
mlp,no_confidence,cusum_tuned_low_fp,0.859932475971017,0.8450374009154851,0.09749784296807593,48.0,41.0,8957.0,1159.0,24.08058300449764
mlp,no_confidence,consecutive_k_low_fp,0.859932475971017,0.8712738640169699,0.27523727351164795,32.0,17.0,8957.0,1159.0,45.79559177483519
mlp,no_confidence,ewma_low_fp,0.859932475971017,0.8647984816344758,0.19499568593615185,40.0,16.0,8957.0,1159.0,44.93672069398604
mlp,no_confidence,leaky_cusum_low_fp,0.859932475971017,0.8498381154404376,0.10698878343399482,48.0,40.0,8957.0,1159.0,25.490276592507644
mlp,no_confidence,sliding_window_risk_low_fp,0.859932475971017,0.8578765211566373,0.1906816220880069,40.0,17.0,8957.0,1159.0,45.29643667787212
xgboost,full_features,calibrated_leaf_low_fp,0.8582547559340663,0.8773026683041197,0.1915444348576359,40.0,24.0,8957.0,1159.0,40.623631944602124
xgboost,full_features,cusum_tuned_low_fp,0.8582547559340663,0.8560902087752595,0.056082830025884385,49.0,55.0,8957.0,1159.0,19.422326468972678
xgboost,full_features,consecutive_k_low_fp,0.8582547559340663,0.8759629340180864,0.25884383088869717,33.0,17.0,8957.0,1159.0,44.919384657668814
xgboost,full_features,ewma_low_fp,0.8582547559340663,0.8827732499720888,0.22433132010353754,40.0,17.0,8957.0,1159.0,44.06204468088698
xgboost,full_features,leaky_cusum_low_fp,0.8582547559340663,0.8594395444903428,0.061259706643658325,49.0,55.0,8957.0,1159.0,19.70319444473451
xgboost,full_features,sliding_window_risk_low_fp,0.8582547559340663,0.8794239142570057,0.2070750647109577,40.0,17.0,8957.0,1159.0,43.78431097914875
xgboost,no_confidence,calibrated_leaf_low_fp,0.8556961296876894,0.877637601875628,0.17687661777394306,40.0,24.0,8957.0,1159.0,37.9957174916213
xgboost,no_confidence,cusum_tuned_low_fp,0.8556961296876894,0.857653232108965,0.056945642795513375,49.0,56.0,8957.0,1159.0,18.55101481446331
xgboost,no_confidence,consecutive_k_low_fp,0.8556961296876894,0.8862342302110081,0.26919758412424505,33.0,17.0,8957.0,1159.0,45.15978686618683
xgboost,no_confidence,ewma_low_fp,0.8556961296876894,0.8837780506866139,0.19240724762726488,40.0,24.0,8957.0,1159.0,41.202626594071695
xgboost,no_confidence,leaky_cusum_low_fp,0.8556961296876894,0.859662833538015,0.06557377049180328,49.0,55.5,8957.0,1159.0,19.314203458567885
xgboost,no_confidence,sliding_window_risk_low_fp,0.8556961296876894,0.8789773361616613,0.182916307161346,40.0,24.0,8957.0,1159.0,39.89535707358895
